date,TweetId,Tweet,created_at,geo,place,coordinates,location
2020-12-10  13:36,1336350876051582978,@levantinepali a stamp of approval https://t.co/uQvb8sxjCw,2020-12-08 16:44:11,,,,everywhere
2020-12-10  13:36,1334542969530183683,2020 in one word,2020-12-03 17:00:13,,,,everywhere
2020-12-10  13:36,1334540220642041862,@Astro_AJC this is what cuffing season means to us,2020-12-03 16:49:17,,,,everywhere
2020-12-10  13:36,1334540220591648770,@un3asyy 2 is also cute,2020-12-03 16:49:17,,,,everywhere
2020-12-10  13:36,1333921747691769856,@DeePeeArts you're all amazing,2020-12-01 23:51:42,,,,everywhere
2020-12-10  13:36,1329561340596391936,RT @shesooosaddity: if you had a twitter before 2020 rt this,2020-11-19 23:05:00,,,,everywhere
2020-12-10  13:36,1329217044391342082,@CloudNaii 40404,2020-11-19 00:16:53,,,,everywhere
2020-12-10  13:36,1329216472711827458,@issahairplug drink water replaced good morning,2020-11-19 00:14:37,,,,everywhere
2020-12-10  13:36,1329107688916135936,@Ne_ThatGuy we're taking oomf to the Fleets,2020-11-18 17:02:21,,,,everywhere
2020-12-10  13:36,1329104797727940612,"@_JusJust_ remember ""I dedicate my 500th Tweet to:____""",2020-11-18 16:50:52,,,,everywhere
2020-12-10  13:36,1329104643062902788,@ambr_ncole they're tourists,2020-11-18 16:50:15,,,,everywhere
2020-12-10  13:36,1329101613940797441,@PhallonXOXO proof you're doing it right 😌,2020-11-18 16:38:12,,,,everywhere
2020-12-10  13:36,1328838299419627525,"some of you hating...

but we see you Fleeting 🧐",2020-11-17 23:11:53,,,,everywhere
2020-12-10  13:36,1328684389388185600,"That thing you didn’t Tweet but wanted to but didn’t but got so close but then were like nah. 

We have a place for… https://t.co/7JE9o0zAAq",2020-11-17 13:00:18,,,,everywhere
2020-12-10  13:36,1328426768009736192,@quakerraina this is art,2020-11-16 19:56:37,,,,everywhere
2020-12-10  13:36,1328411214351831044,@tsm560 aren't we all six feet,2020-11-16 18:54:48,,,,everywhere
2020-12-10  13:36,1328411086308200449,@muharikah this Tweet just graduated with honors,2020-11-16 18:54:18,,,,everywhere
2020-12-10  13:36,1328091011436982272,"@badgirIkiki saw it, love it, can't wait for the wedding pics 🥺",2020-11-15 21:42:26,,,,everywhere
2020-12-10  13:36,1327102544942870528,RT @theDapperilla: https://t.co/vAQvG5H74u,2020-11-13 04:14:37,,,,everywhere
2020-12-10  13:36,1323314485705297926,breathe,2020-11-02 17:22:14,,,,everywhere
2020-12-10  13:36,1323305871728906241,@sexyvamplre apology accepted,2020-11-02 16:48:00,,,,everywhere
2020-12-10  13:36,1320826934079705088,@DaReal2ET H2🌑,2020-10-26 20:37:35,,,,everywhere
2020-12-10  13:36,1320825824879255556,@Theghostgaming_ THIRSTY,2020-10-26 20:33:11,,,,everywhere
2020-12-10  13:36,1320825326407196672,@AndrewJacklin looking hydrated,2020-10-26 20:31:12,,,,everywhere
2020-12-10  13:36,1320825326365265920,@litcapital the moon will share,2020-10-26 20:31:12,,,,everywhere
2020-12-10  13:36,1320824522166120449,@dog_vegano bark among the stars,2020-10-26 20:28:00,,,,everywhere
2020-12-10  13:36,1320824397184274439,@Sliim_sadie rubber ducky knew all along,2020-10-26 20:27:30,,,,everywhere
2020-12-10  13:36,1320822556614676480,If the moon can hydrate so can you,2020-10-26 20:20:11,,,,everywhere
2020-12-10  13:36,1319006269785755648,"Reading an article before Retweeting it? That’s growth.

Before you Retweet an article, we’ll remind you to read it… https://t.co/3h0ZSICDTr",2020-10-21 20:02:55,,,,everywhere
2020-12-10  13:36,1318900658217648128,"Hey everyone, we made a temporary change to the Retweet function. 

When you hit the Retweet button, you can either… https://t.co/UvOp2XIiOs",2020-10-21 13:03:15,,,,everywhere
2020-12-10  13:36,1318645661475180546,RT @lestheprez: Me seeing my Twitter friends I’ve never met in person succeed. https://t.co/z5enOTgULc,2020-10-20 20:09:59,,,,everywhere
2020-12-10  13:36,1317227243064774658,RT @virafied: https://t.co/nA63eHXgx1,2020-10-16 22:13:42,,,,everywhere
2020-12-10  13:36,1315777146355417089,@lunancts dedication,2020-10-12 22:11:32,,,,everywhere
2020-12-10  13:36,1315670626175258630,@starheal not a single person on this app,2020-10-12 15:08:15,,,,everywhere
2020-12-10  13:36,1314675188290772992,@couribruv but was it a good Tweet?,2020-10-09 21:12:45,,,,everywhere
2020-12-10  13:36,1314674165186789379,@wowimnothere checks out,2020-10-09 21:08:41,,,,everywhere
2020-12-10  13:36,1314358633921236995,@KaiDavisPoet you forgot one: 😂,2020-10-09 00:14:52,,,,everywhere
2020-12-10  13:36,1314353837994463232,@ImBrittanyEvans mutual acknowledgment of good Tweets is friendship,2020-10-08 23:55:49,,,,everywhere
2020-12-10  13:36,1314353837780750337,@SharjeelKd https://t.co/TMDtvGOtMn,2020-10-08 23:55:49,,,,everywhere
2020-12-10  13:36,1313584258905186305,@_micawave how it started          it never ended we get it,2020-10-06 20:57:47,,,,everywhere
2020-12-10  13:36,1313544965339918339,@issataiii just make sure your DMs are open,2020-10-06 18:21:38,,,,everywhere
2020-12-10  13:36,1310999500962648065,@__missxbri that was a classic,2020-09-29 17:46:52,,,,everywhere
2020-12-10  13:36,1310999384524558337,@emmahekel no don't stop,2020-09-29 17:46:25,,,,everywhere
2020-12-10  13:36,1310999384457457664,@desh0la strangers to bffs on Twitter real quick,2020-09-29 17:46:25,,,,everywhere
2020-12-10  13:36,1308815533052133382,@DjNickeysM cool cool cool cool cool,2020-09-23 17:08:34,,,,everywhere
2020-12-10  13:36,1308815413959159808,@ashleymr1993 sign our mask,2020-09-23 17:08:05,,,,everywhere
2020-12-10  13:36,1308815313388089347,@Danteezus that's real in our book,2020-09-23 17:07:41,,,,everywhere
2020-12-10  13:36,1308809650897387520,@rsg worth taking the L tbh,2020-09-23 16:45:11,,,,everywhere
2020-12-10  13:36,1308528275992580096,@rsg 👀😷 https://t.co/s2hsQvbrIF,2020-09-22 22:07:06,,Prospect Park,,everywhere
2020-12-10  13:36,1308525417666621440,@ashleymr1993 👀😷 https://t.co/dEsfiXDjDY,2020-09-22 21:55:45,,Miami,,everywhere
2020-12-10  13:36,1308523886401728513,@DjNickeysM 👀😷 https://t.co/YxY4w98ekT,2020-09-22 21:49:40,,Seattle,,everywhere
2020-12-10  13:36,1308519347019755520,RT @ezrabutler: This is one way to retweet me. https://t.co/pp4FEHRdYv,2020-09-22 21:31:38,,,,everywhere
2020-12-10  13:36,1308519252798906370,"@alexmella24 Dan Ryan Expressway in Chicago, north of Cermak!",2020-09-22 21:31:15,,,,everywhere
2020-12-10  13:36,1308518546821898240,@alexmella24 confirming really real,2020-09-22 21:28:27,,,,everywhere
2020-12-10  13:36,1308502159458148352,@fruitydyke 👀😷 https://t.co/lpPZI3HxkS,2020-09-22 20:23:20,,Miami,,everywhere
2020-12-10  13:36,1308501486385557505,@sylveeoncutie 👀😷 https://t.co/P1vTOKd2Bm,2020-09-22 20:20:39,,Miami,,everywhere
2020-12-10  13:36,1308500974500102144,@stefaniwhylie 👀😷 https://t.co/s6UVLVjrKl,2020-09-22 20:18:37,,Miami,,everywhere
2020-12-10  13:36,1308500576779476993,@AveryKJones 👀😷 https://t.co/ZJtSfhPoPo,2020-09-22 20:17:02,,Miami,,everywhere
2020-12-10  13:36,1308498836210569216,@TheRealMrMint it's pretty simple we're not asking you to wear pants,2020-09-22 20:10:07,,,,everywhere
2020-12-10  13:36,1308497329113227264,@grovymango narrator: it was not a mockup,2020-09-22 20:04:08,,,,everywhere
2020-12-10  13:36,1308482670205325313,@leoncbrunson oh.............it's real,2020-09-22 19:05:53,,,,everywhere
2020-12-10  13:36,1308475139214909440,@m_spiceo 👀😷 https://t.co/i0ukLnEF87,2020-09-22 18:35:58,,Brooklyn,,everywhere
2020-12-10  13:36,1308452566494113792,@lolstiz 👀😷 https://t.co/Z02LtJz35n,2020-09-22 17:06:16,,New Jersey,,everywhere
2020-12-10  13:36,1308450698548244481,@grovymango 👀😷 https://t.co/fNxzfVHEEF,2020-09-22 16:58:51,,New Jersey,,everywhere
2020-12-10  13:36,1308446014668288000,@anniedolo 👀😷 https://t.co/tCtRydIx5S,2020-09-22 16:40:14,,Seattle,,everywhere
2020-12-10  13:36,1308445399993155585,@adityamsharma 👀😷 https://t.co/N9B85XH5uu,2020-09-22 16:37:47,,New Jersey,,everywhere
2020-12-10  13:36,1308445263988576256,@Khetlymmm 👀😷 https://t.co/wRDdqx9hN0,2020-09-22 16:37:15,,Miami,,everywhere
2020-12-10  13:36,1308444488914927617,@ezrabutler 👀😷 https://t.co/t0bzyBmTGb,2020-09-22 16:34:10,,Chicago,,everywhere
